Student
      0.01	         0	         0	 0.8029	 0.0191	
      0.01	         0	       0.1	 0.8017	 0.0214	
      0.01	         0	       0.2	 0.8042	 0.0198	
      0.01	         0	       0.3	 0.8034	 0.0212	
      0.01	         0	       0.4	 0.8041	 0.0240	
      0.01	         0	       0.5	 0.8067	 0.0235	
      0.01	         0	       0.6	 0.8095	 0.0254	

      0.01	     0.001	         0	 0.8045	 0.0281	
      0.01	     0.001	       0.1	 0.8022	 0.0329	
      0.01	     0.001	       0.2	 0.8052	 0.0231	
      0.01	     0.001	       0.3	 0.8083	 0.0236	
      0.01	     0.001	       0.4	 0.8059	 0.0289	
      0.01	     0.001	       0.5	 0.8074	 0.0227	
      0.01	     0.001	       0.6	 0.8085	 0.0317	

      0.01	     0.002	         0	 0.8035	 0.0249	
      0.01	     0.002	       0.1	 0.8049	 0.0268	
      0.01	     0.002	       0.2	 0.8077	 0.0268	
      0.01	     0.002	       0.3	 0.8070	 0.0273	
      0.01	     0.002	       0.4	 0.8051	 0.0261	
      0.01	     0.002	       0.5	 0.8061	 0.0326	
      0.01	     0.002	       0.6	 0.8056	 0.0255	

      0.01	     0.005	         0	 0.7960	 0.0331	
      0.01	     0.005	       0.1	 0.7982	 0.0251	
      0.01	     0.005	       0.2	 0.7992	 0.0248	
      0.01	     0.005	       0.3	 0.7946	 0.0298	
      0.01	     0.005	       0.4	 0.8003	 0.0255	
      0.01	     0.005	       0.5	 0.8010	 0.0256	
      0.01	     0.005	       0.6	 0.7956	 0.0376	

      0.01	      0.01	         0	 0.7886	 0.0366	
      0.01	      0.01	       0.1	 0.7879	 0.0329	
      0.01	      0.01	       0.2	 0.7855	 0.0361	
      0.01	      0.01	       0.3	 0.7852	 0.0413	
      0.01	      0.01	       0.4	 0.7825	 0.0493	
      0.01	      0.01	       0.5	 0.7886	 0.0326	
      0.01	      0.01	       0.6	 0.7861	 0.0444	

     0.005	         0	         0	 0.8022	 0.0230	
     0.005	         0	       0.1	 0.8040	 0.0232	
     0.005	         0	       0.2	 0.8036	 0.0224	
     0.005	         0	       0.3	 0.8046	 0.0215	
     0.005	         0	       0.4	 0.8046	 0.0245	
     0.005	         0	       0.5	 0.8052	 0.0222	
