Student
      0.01	         0	         0	 0.7282	 0.0186	
      0.01	         0	       0.1	 0.7254	 0.0198	
      0.01	         0	       0.2	 0.7343	 0.0170	
      0.01	         0	       0.3	 0.7251	 0.0206	
      0.01	         0	       0.4	 0.7256	 0.0229	
      0.01	         0	       0.5	 0.7271	 0.0249	
      0.01	         0	       0.6	 0.7318	 0.0183	

     0.005	         0	         0	 0.7329	 0.0223	
     0.005	         0	       0.1	 0.7292	 0.0236	
     0.005	         0	       0.2	 0.7344	 0.0240	
     0.005	         0	       0.3	 0.7326	 0.0218	
     0.005	         0	       0.4	 0.7295	 0.0188	
     0.005	         0	       0.5	 0.7315	 0.0212	
     0.005	         0	       0.6	 0.7371	 0.0194	

Student
     0.001	         0	       0.2	 0.7329	 0.0233	
     0.001	         0	       0.6	 0.7396	 0.0275	
     0.002	         0	       0.2	 0.7297	 0.0234	
     0.002	         0	       0.6	 0.7383	 0.0234	
     0.003	         0	       0.2	 0.7272	 0.0207	
     0.003	         0	       0.6	 0.7355	 0.0206	
     0.004	         0	       0.2	 0.7287	 0.0218	
     0.004	         0	       0.6	 0.7382	 0.0196	
     0.006	         0	       0.2	 0.7323	 0.0221	
     0.006	         0	       0.6	 0.7343	 0.0217	
     0.007	         0	       0.2	 0.7256	 0.0211	
     0.007	         0	       0.6	 0.7337	 0.0202	
     0.008	         0	       0.2	 0.7248	 0.0201	
     0.008	         0	       0.6	 0.7328	 0.0234	
     0.009	         0	       0.2	 0.7245	 0.0236	
     0.009	         0	       0.6	 0.7312	 0.0200	
     0.011	         0	       0.2	 0.7267	 0.0201	
     0.011	         0	       0.6	 0.7351	 0.0196	
     0.012	         0	       0.2	 0.7219	 0.0149	
     0.012	         0	       0.6	 0.7291	 0.0206	
     0.015	         0	       0.2	 0.7165	 0.0114	
     0.015	         0	       0.6	 0.7296	 0.0172	
      0.02	         0	       0.2	 0.7252	 0.0259	
      0.02	         0	       0.6	 0.7239	 0.0214	
      0.03	         0	       0.2	 0.7224	 0.0285	
      0.03	         0	       0.6	 0.7262	 0.0184	
Student
     0.001	         0	       0.6	 0.7396	 0.0275	
     0.001	    0.0001	       0.6	 0.7370	 0.0238	
     0.001	    0.0002	       0.6	 0.7373	 0.0233	
     0.001	    0.0005	       0.6	 0.7418	 0.0186	
     0.001	     0.001	       0.6	 0.7408	 0.0235	
     0.004	         0	       0.6	 0.7382	 0.0196	
     0.004	    0.0001	       0.6	 0.7377	 0.0192	
     0.004	    0.0002	       0.6	 0.7392	 0.0193	
     0.004	    0.0005	       0.6	 0.7390	 0.0199	
     0.004	     0.001	       0.6	 0.7412	 0.0206	
Student
     0.001	    0.0005	       0.5	 0.7435	 0.0206	
     0.001	    0.0005	      0.58	 0.7418	 0.0207	
     0.001	    0.0005	       0.6	 0.7418	 0.0186	
     0.001	    0.0005	      0.62	 0.7451	 0.0193	
     0.001	    0.0005	      0.63	 0.7436	 0.0198	
     0.001	    0.0005	      0.64	 0.7417	 0.0210	
     0.001	    0.0005	      0.65	 0.7432	 0.0194	
     0.001	    0.0005	       0.7	 0.7401	 0.0217	
     0.001	    0.0005	       0.8	 0.7439	 0.0238	
     0.001	    0.0005	       0.9	 0.7464	 0.0165	
     0.001	     0.001	       0.5	 0.7414	 0.0213	
     0.001	     0.001	      0.58	 0.7433	 0.0223	
     0.001	     0.001	       0.6	 0.7408	 0.0235	
     0.001	     0.001	      0.62	 0.7425	 0.0221	
     0.001	     0.001	      0.63	 0.7423	 0.0226	
     0.001	     0.001	      0.64	 0.7388	 0.0133	
     0.001	     0.001	      0.65	 0.7408	 0.0213	
     0.001	     0.001	       0.7	 0.7475	 0.0208	
     0.001	     0.001	       0.8	 0.7491	 0.0207	
     0.001	     0.001	       0.9	 0.7485	 0.0163	
     0.004	    0.0005	       0.5	 0.7316	 0.0226	
     0.004	    0.0005	      0.58	 0.7394	 0.0193	
     0.004	    0.0005	       0.6	 0.7390	 0.0199	
     0.004	    0.0005	      0.62	 0.7396	 0.0184	
     0.004	    0.0005	      0.63	 0.7358	 0.0160	
     0.004	    0.0005	      0.64	 0.7372	 0.0164	
