Student
    0.0008	     0.001	      0.92	 0.7506	 0.0401	

    0.0008	     0.002	      0.92	 0.7447	 0.0452	

    0.0008	     0.003	      0.92	 0.7368	 0.0491	

    0.0008	     0.004	      0.92	 0.7275	 0.0527	

    0.0008	     0.006	      0.92	 0.7009	 0.0601	

    0.0008	     0.007	      0.92	 0.6834	 0.0632	

     0.002	     0.001	      0.92	 0.7512	 0.0398	

     0.002	     0.002	      0.92	 0.7445	 0.0442	

     0.002	     0.003	      0.92	 0.7369	 0.0470	

     0.002	     0.004	      0.92	 0.7307	 0.0526	

     0.002	     0.006	      0.92	 0.7071	 0.0620	

     0.002	     0.007	      0.92	 0.6913	 0.0634	

Student
     0.001	    0.0001	         0	 0.7596	 0.0336	
     0.001	    0.0001	       0.2	 0.7588	 0.0347	
     0.001	    0.0001	       0.4	 0.7594	 0.0329	
     0.001	    0.0001	       0.6	 0.7587	 0.0335	
     0.001	    0.0001	       0.8	 0.7582	 0.0347	

     0.001	    0.0005	         0	 0.7558	 0.0363	
     0.001	    0.0005	       0.2	 0.7568	 0.0353	
     0.001	    0.0005	       0.4	 0.7562	 0.0364	
     0.001	    0.0005	       0.6	 0.7554	 0.0368	
     0.001	    0.0005	       0.8	 0.7554	 0.0357	

     0.005	    0.0001	         0	 0.7586	 0.0346	
     0.005	    0.0001	       0.2	 0.7624	 0.0313	
     0.005	    0.0001	       0.4	 0.7600	 0.0334	
     0.005	    0.0001	       0.6	 0.7598	 0.0333	
     0.005	    0.0001	       0.8	 0.7568	 0.0346	

     0.005	    0.0005	         0	 0.7564	 0.0331	
     0.005	    0.0005	       0.2	 0.7561	 0.0336	
     0.005	    0.0005	       0.4	 0.7579	 0.0348	
     0.005	    0.0005	       0.6	 0.7569	 0.0333	
     0.005	    0.0005	       0.8	 0.7546	 0.0372	

      0.01	    0.0001	         0	 0.7623	 0.0305	
      0.01	    0.0001	       0.2	 0.7602	 0.0335	
      0.01	    0.0001	       0.4	 0.7627	 0.0334	
      0.01	    0.0001	       0.6	 0.7563	 0.0336	
      0.01	    0.0001	       0.8	 0.7572	 0.0346	

      0.01	    0.0005	         0	 0.7548	 0.0325	
      0.01	    0.0005	       0.2	 0.7583	 0.0307	
      0.01	    0.0005	       0.4	 0.7585	 0.0303	
      0.01	    0.0005	       0.6	 0.7595	 0.0302	
      0.01	    0.0005	       0.8	 0.7563	 0.0373	

Student
    0.0008	         0	       0.3	 0.7617	 0.0321	
    0.0008	         0	      0.32	 0.7607	 0.0308	
    0.0008	         0	      0.34	 0.7605	 0.0317	
    0.0008	         0	      0.36	 0.7617	 0.0320	
    0.0008	         0	      0.38	 0.7608	 0.0324	
    0.0008	         0	       0.4	 0.7609	 0.0325	
    0.0008	         0	      0.42	 0.7612	 0.0321	
    0.0008	         0	      0.44	 0.7615	 0.0322	
    0.0008	         0	      0.46	 0.7602	 0.0321	
    0.0008	         0	      0.48	 0.7599	 0.0314	

    0.0008	    0.0001	       0.3	 0.7597	 0.0337	
    0.0008	    0.0001	      0.32	 0.7597	 0.0335	
    0.0008	    0.0001	      0.34	 0.7592	 0.0339	
    0.0008	    0.0001	      0.36	 0.7593	 0.0323	
    0.0008	    0.0001	      0.38	 0.7599	 0.0341	
    0.0008	    0.0001	       0.4	 0.7589	 0.0329	
    0.0008	    0.0001	      0.42	 0.7598	 0.0337	
    0.0008	    0.0001	      0.44	 0.7600	 0.0330	
    0.0008	    0.0001	      0.46	 0.7583	 0.0345	
    0.0008	    0.0001	      0.48	 0.7598	 0.0335	

    0.0008	    0.0002	       0.3	 0.7580	 0.0338	
    0.0008	    0.0002	      0.32	 0.7582	 0.0334	
    0.0008	    0.0002	      0.34	 0.7587	 0.0330	
    0.0008	    0.0002	      0.36	 0.7578	 0.0337	
    0.0008	    0.0002	      0.38	 0.7593	 0.0325	
    0.0008	    0.0002	       0.4	 0.7589	 0.0327	
    0.0008	    0.0002	      0.42	 0.7582	 0.0343	
    0.0008	    0.0002	      0.44	 0.7583	 0.0326	
    0.0008	    0.0002	      0.46	 0.7586	 0.0332	
    0.0008	    0.0002	      0.48	 0.7590	 0.0330	

    0.0018	         0	       0.3	 0.7592	 0.0331	
    0.0018	         0	      0.32	
